Date, Open, High, Low,Close
9/6/2023,7437.93,7447.94,7369.64,7426.14
9/5/2023,7452.76,7481.35,7389.8,7437.93
9/4/2023,7464.54,7523.4,7448.31,7452.76
9/1/2023,7439.13,7492.63,7439.13,7464.54
8/31/2023,7473.67,7500.44,7439.13,7439.13
8/30/2023,7464.99,7509.36,7464.73,7473.67
8/29/2023,7338.58,7471.14,7338.58,7464.99
8/25/2023,7333.63,7389.4,7326.97,7338.58
8/24/2023,7320.53,7386.08,7320.53,7333.63
8/23/2023,7270.76,7348.84,7270.76,7320.53
8/22/2023,7257.82,7310.52,7257.58,7270.76
8/21/2023,7262.43,7315.97,7250.88,7257.82
8/18/2023,7310.21,7310.21,7215.76,7262.43
8/17/2023,7356.88,7356.96,7305,7310.21
8/16/2023,7389.64,7398.2,7338.53,7356.88
8/15/2023,7507.15,7508.58,7369.69,7389.64
8/14/2023,7524.16,7530.25,7476.45,7507.15
8/11/2023,7618.6,7618.6,7507.84,7524.16
8/10/2023,7587.3,7622.92,7572.61,7618.6
8/9/2023,7527.42,7600.79,7527.42,7587.3
8/8/2023,7554.49,7554.49,7487.47,7527.42
8/7/2023,7564.37,7564.95,7505.15,7554.49
8/4/2023,7529.16,7569.55,7487.36,7564.37
8/3/2023,7561.63,7562.13,7437.88,7529.16
8/2/2023,7666.27,7666.27,7522.24,7561.63
8/1/2023,7699.41,7715.24,7650.15,7666.27
7/31/2023,7694.27,7722.92,7667.81,7699.41
7/28/2023,7692.76,7716.82,7680.19,7694.27
7/27/2023,7676.89,7709.66,7662.4,7692.76
7/26/2023,7691.8,7702.74,7630,7676.89
7/25/2023,7678.59,7702.35,7676.5,7691.8
7/24/2023,7663.73,7684.97,7633.29,7678.59
7/21/2023,7646.05,7674.23,7639.45,7663.73
7/20/2023,7588.2,7661.87,7585.85,7646.05
7/19/2023,7453.69,7625.14,7453.69,7588.2
7/18/2023,7406.42,7459.15,7398.53,7453.69
7/17/2023,7434.57,7437.61,7395.67,7406.42
7/14/2023,7440.21,7480.43,7421.31,7434.57
7/13/2023,7416.11,7457.2,7409.25,7440.21
7/12/2023,7282.52,7425.1,7282.52,7416.11
7/11/2023,7273.79,7285.33,7239.23,7282.52
7/10/2023,7256.94,7306.09,7238.72,7273.79
7/7/2023,7280.5,7280.5,7229.57,7256.94
7/6/2023,7442.1,7442.1,7267.62,7280.5
7/5/2023,7519.72,7519.72,7434.66,7442.1
7/4/2023,7527.26,7547.38,7518.36,7519.72
7/3/2023,7531.53,7561.26,7513.93,7527.26
6/30/2023,7471.69,7551.59,7471.69,7531.53
6/29/2023,7500.49,7505.61,7460.53,7471.69
6/28/2023,7461.46,7518.33,7461.46,7500.49
6/27/2023,7453.58,7495.88,7428.11,7461.46
6/26/2023,7461.87,7476.45,7401.18,7453.58
6/23/2023,7502.03,7502.03,7439.72,7461.87
6/22/2023,7559.18,7559.18,7458.35,7502.03
6/21/2023,7569.31,7577.6,7520.92,7559.18
6/20/2023,7588.48,7607.53,7566.33,7569.31
6/19/2023,7642.72,7642.72,7581.84,7588.48
6/16/2023,7628.26,7687.61,7627.83,7642.72
6/15/2023,7602.74,7632.67,7584.78,7628.26
6/14/2023,7594.78,7639.79,7579.27,7602.74
6/13/2023,7570.69,7610.77,7556.32,7594.78
6/12/2023,7562.36,7599.87,7556.81,7570.69
6/9/2023,7599.74,7621.72,7546.5,7562.36
6/8/2023,7624.34,7638.61,7587.99,7599.74
6/7/2023,7628.1,7642.4,7604.42,7624.34
6/6/2023,7599.99,7636.06,7556.16,7628.1
6/5/2023,7607.28,7654.84,7594.13,7599.99
6/2/2023,7490.27,7614.89,7490.02,7607.28
6/1/2023,7446.14,7498.59,7445.3,7490.27
5/31/2023,7522.07,7522.07,7446.14,7446.14
5/30/2023,7627.2,7628.12,7516.52,7522.07
5/26/2023,7570.87,7643.56,7556.92,7627.2
5/25/2023,7627.1,7629.08,7569.17,7570.87
5/24/2023,7762.95,7762.95,7590.24,7627.1
5/23/2023,7770.99,7800.85,7747.09,7762.95
5/22/2023,7756.87,7783.4,7750.53,7770.99
5/19/2023,7742.3,7790.92,7742.13,7756.87
5/18/2023,7723.23,7776.58,7723.23,7742.3
5/17/2023,7751.08,7758.15,7713.03,7723.23
5/16/2023,7777.7,7804.93,7741.29,7751.08
5/15/2023,7754.62,7794.89,7754.62,7777.7
5/12/2023,7730.58,7772.79,7729.01,7754.62
5/11/2023,7741.33,7784.28,7679.61,7730.58
5/10/2023,7764.09,7778.98,7727.12,7741.33
5/9/2023,7778.38,7792.35,7735.08,7764.09
5/5/2023,7702.64,7781.54,7702.64,7778.38
5/4/2023,7788.37,7788.37,7691.25,7702.64
5/3/2023,7773.03,7819.66,7773.03,7788.37
5/2/2023,7870.57,7898.69,7773.03,7773.03
4/28/2023,7831.58,7870.57,7791.63,7870.57
4/27/2023,7852.64,7865.73,7816.83,7831.58
4/26/2023,7891.13,7893.95,7825.93,7852.64
4/25/2023,7912.2,7912.52,7863.85,7891.13
4/24/2023,7914.13,7927.11,7877.58,7912.2
4/21/2023,7902.61,7936.11,7886.46,7914.13
4/20/2023,7898.77,7902.95,7876.35,7902.61
4/19/2023,7909.44,7909.44,7871.43,7898.77
4/18/2023,7879.51,7912.73,7879.51,7909.44
4/17/2023,7871.91,7916.67,7871.91,7879.51
4/14/2023,7843.38,7904.04,7843.38,7871.91
4/13/2023,7824.84,7851.57,7814.11,7843.38
4/12/2023,7785.72,7859.67,7783.4,7824.84
4/11/2023,7741.56,7806.39,7741.56,7785.72
4/6/2023,7662.94,7742.11,7654.54,7741.56
4/5/2023,7634.52,7678.45,7634.26,7662.94
4/4/2023,7673,7726.85,7634.52,7634.52
4/3/2023,7631.74,7698.15,7631.74,7673
3/31/2023,7620.43,7654.41,7616.09,7631.74
3/30/2023,7564.27,7638.49,7564.27,7620.43
3/29/2023,7484.25,7566.8,7484.21,7564.27
3/28/2023,7471.77,7524.55,7464.61,7484.25
3/27/2023,7405.45,7491.74,7405.45,7471.77
3/24/2023,7499.6,7499.6,7335.71,7405.45
3/23/2023,7566.84,7566.84,7476.13,7499.6
3/22/2023,7536.22,7585.57,7505.48,7566.84
3/21/2023,7403.85,7557.55,7403.85,7536.22
3/20/2023,7335.4,7426.24,7206.82,7403.85
3/17/2023,7410.03,7510.47,7309.3,7335.4
3/16/2023,7344.45,7458.64,7331.49,7410.03
3/15/2023,7637.11,7637.39,7333.35,7344.45
3/14/2023,7548.63,7641.55,7503.25,7637.11
3/13/2023,7748.35,7752.43,7546.02,7548.63
3/10/2023,7879.98,7879.98,7708.32,7748.35
3/9/2023,7929.92,7930.26,7862.01,7879.98
3/8/2023,7919.48,7946.62,7891.42,7929.92
3/7/2023,7929.79,7959.77,7909.77,7919.48
3/6/2023,7947.11,7948.67,7897.45,7929.79
3/3/2023,7944.04,7974.4,7920.07,7947.11
3/2/2023,7914.93,7945.82,7875.03,7944.04
3/1/2023,7876.28,7950.69,7874.34,7914.93
2/28/2023,7935.11,7935.11,7854.82,7876.28
2/27/2023,7878.66,7949.97,7878.66,7935.11
2/24/2023,7907.72,7939.17,7870.39,7878.66
2/23/2023,7930.63,7935.56,7888.88,7907.72
2/22/2023,7977.75,7977.75,7879.03,7930.63
2/21/2023,8014.31,8014.4,7952.48,7977.75
2/20/2023,8004.36,8020.13,7995.46,8014.31
2/17/2023,8012.53,8012.53,7957.69,8004.36
2/16/2023,7997.83,8047.06,7978.61,8012.53
2/15/2023,7953.85,8003.65,7921.32,7997.83
2/14/2023,7947.6,7996.35,7947.6,7953.85
2/13/2023,7882.45,7947.6,7881.86,7947.6
2/10/2023,7911.15,7913.31,7850.94,7882.45
2/9/2023,7885.17,7949.57,7874.23,7911.15
2/8/2023,7864.71,7934.3,7864.66,7885.17
2/7/2023,7836.71,7890.82,7835.36,7864.71
2/6/2023,7901.8,7901.8,7808.39,7836.71
2/3/2023,7820.16,7906.58,7806.85,7901.8
2/2/2023,7761.11,7837.84,7758.51,7820.16
2/1/2023,7771.7,7798.51,7745.43,7761.11
1/31/2023,7784.87,7784.87,7708.34,7771.7
1/30/2023,7765.15,7790.69,7718.33,7784.87
1/27/2023,7761.11,7777.4,7742.12,7765.15
1/26/2023,7744.87,7787.57,7744.87,7761.11
1/25/2023,7757.36,7773.57,7710.78,7744.87
1/24/2023,7784.67,7800.89,7741.75,7757.36
1/23/2023,7770.59,7811.17,7768.47,7784.67
1/20/2023,7747.29,7790.87,7747.29,7770.59
1/19/2023,7830.7,7830.8,7726.23,7747.29
1/18/2023,7851.03,7867.43,7824.73,7830.7
1/17/2023,7860.07,7875.58,7830.35,7851.03
1/16/2023,7844.07,7867.23,7841.91,7860.07
1/13/2023,7794.04,7864.95,7793.55,7844.07
1/12/2023,7724.98,7809.13,7724.55,7794.04
1/11/2023,7694.49,7772.37,7694.35,7724.98
1/10/2023,7724.94,7724.94,7684.35,7694.49
1/9/2023,7699.49,7725.74,7688.69,7724.94
1/6/2023,7633.45,7700.81,7633.45,7699.49
1/5/2023,7585.19,7658.79,7564.7,7633.45
1/4/2023,7554.09,7609.25,7545.18,7585.19
1/3/2023,7451.74,7626.4,7448.69,7554.09
12/30/2022,7512.72,7512.92,7451.74,7451.74
12/29/2022,7497.19,7516.36,7434.64,7512.72
12/28/2022,7473.01,7547,7473.01,7497.19
12/27/2022,7473.01,7473.01,7473.01,7473.01
12/26/2022,7473.01,7473.01,7473.01,7473.01
12/23/2022,7469.28,7496.4,7462.8,7473.01
12/22/2022,7497.32,7540.31,7463.54,7469.28
12/21/2022,7370.62,7498.48,7368.72,7497.32
12/20/2022,7361.31,7389.92,7302.82,7370.62
12/19/2022,7332.12,7385.38,7332.12,7361.31
12/16/2022,7426.17,7429.29,7305.72,7332.12
12/15/2022,7495.93,7495.93,7411.07,7426.17
12/14/2022,7502.89,7504.49,7461.68,7495.93
12/13/2022,7445.97,7553.36,7428.98,7502.89
12/12/2022,7476.63,7476.63,7438.87,7445.97
12/9/2022,7472.17,7498.04,7431.44,7476.63
12/8/2022,7489.19,7507.98,7469.12,7472.17
12/7/2022,7521.39,7567.23,7489.19,7489.19
12/6/2022,7567.54,7567.64,7521.39,7521.39
12/5/2022,7556.23,7598.21,7547.76,7567.54
12/2/2022,7558.49,7570.46,7507.98,7556.23
12/1/2022,7573.05,7599.7,7552.29,7558.49
11/30/2022,7512,7599.27,7512,7573.05
11/29/2022,7474.02,7543.09,7473.99,7512
11/28/2022,7486.67,7496.8,7420,7474.02
11/25/2022,7466.6,7497.23,7461.78,7486.67
11/24/2022,7465.24,7488.07,7443.46,7466.6
11/23/2022,7452.84,7498.34,7452.84,7465.24
11/22/2022,7376.85,7458.88,7373.56,7452.84
11/21/2022,7385.52,7402.79,7343.37,7376.85
11/18/2022,7346.54,7423.51,7343.5,7385.52
11/17/2022,7351.19,7354.07,7294.75,7346.54
11/16/2022,7369.44,7394.42,7341.59,7351.19
11/15/2022,7385.17,7413.01,7344.85,7369.44
11/14/2022,7318.04,7413.82,7317.57,7385.17
11/11/2022,7375.34,7408.61,7316.84,7318.04
11/10/2022,7296.25,7405.09,7253.36,7375.34
11/9/2022,7306.14,7307.8,7263.46,7296.25
11/8/2022,7299.99,7313.46,7244.83,7306.14
11/7/2022,7334.84,7346.66,7288,7299.99
11/4/2022,7188.63,7376.23,7188.63,7334.84
11/3/2022,7144.14,7188.63,7076.47,7188.63
11/2/2022,7186.16,7205.07,7130.5,7144.14
11/1/2022,7094.53,7221.32,7094.53,7186.16
10/31/2022,7047.67,7132.85,7030.12,7094.53
10/28/2022,7073.69,7073.69,6997.54,7047.67
10/27/2022,7056.07,7093.05,7034.24,7073.69
10/26/2022,7013.48,7057.42,6960.11,7056.07
10/25/2022,7013.99,7025.22,6949.24,7013.48
10/24/2022,6969.73,7047.37,6914.66,7013.99
10/21/2022,6943.91,6976.19,6864.13,6969.73
10/20/2022,6924.99,6954.21,6894.85,6943.91
10/19/2022,6936.74,6968.33,6890.66,6924.99
10/18/2022,6920.24,7017.4,6920.24,6936.74
10/17/2022,6858.79,6959.71,6850.43,6920.24
10/14/2022,6850.27,6976.3,6850.27,6858.79
10/13/2022,6826.15,6872.9,6707.62,6850.27
10/12/2022,6885.23,6916.94,6793.77,6826.15
10/11/2022,6959.31,6959.43,6860.31,6885.23
10/10/2022,6991.09,6999.2,6922.94,6959.31
10/7/2022,6997.27,7022.41,6960.36,6991.09
10/6/2022,7052.62,7079.74,6961.1,6997.27
10/5/2022,7086.46,7086.46,6977.95,7052.62
10/4/2022,6908.76,7088.17,6908.67,7086.46
10/3/2022,6893.81,6923.75,6797.37,6908.76
9/30/2022,6881.59,6954.92,6840.07,6893.81
9/29/2022,7005.39,7005.39,6829.29,6881.59
9/28/2022,6984.59,7011.5,6836.28,7005.39
9/27/2022,7020.95,7073.96,6984.59,6984.59
9/26/2022,7018.6,7071.11,6937.4,7020.95
9/23/2022,7159.52,7169.12,6981.5,7018.6
9/22/2022,7237.64,7243.9,7149.59,7159.52
9/21/2022,7192.66,7258.87,7170.69,7237.64
9/20/2022,7236.68,7326.54,7171.24,7192.66
9/16/2022,7282.07,7297.1,7236.17,7236.68
9/15/2022,7277.3,7329,7258.67,7282.07
9/14/2022,7385.86,7385.86,7259.24,7277.3
9/13/2022,7473.03,7514.04,7385.86,7385.86
9/12/2022,7351.07,7483,7351.07,7473.03
9/9/2022,7262.06,7386.59,7262.06,7351.07
9/8/2022,7237.83,7273.01,7175.75,7262.06
9/7/2022,7300.44,7300.44,7186.56,7237.83
9/6/2022,7287.43,7324.19,7256.51,7300.44
9/5/2022,7281.19,7288.46,7191.17,7287.43
9/2/2022,7148.5,7288.72,7148.5,7281.19
9/1/2022,7284.15,7284.15,7131.69,7148.5
8/31/2022,7361.63,7378.44,7263.62,7284.15
8/30/2022,7427.31,7486.4,7351.12,7361.63
8/26/2022,7479.74,7530.65,7422.02,7427.31
8/25/2022,7471.51,7535.7,7469.17,7479.74
8/24/2022,7488.11,7488.12,7410.4,7471.51
8/23/2022,7533.79,7533.79,7467.56,7488.11
8/22/2022,7550.37,7550.41,7491.26,7533.79
8/19/2022,7541.85,7578.85,7513.26,7550.37
8/18/2022,7515.75,7541.89,7493.66,7541.85
8/17/2022,7536.06,7554.04,7501.54,7515.75
8/16/2022,7509.15,7563.67,7509.15,7536.06
8/15/2022,7500.89,7539.21,7463.51,7509.15
8/12/2022,7465.91,7516.83,7464.12,7500.89
8/11/2022,7507.11,7515,7460.11,7465.91
8/10/2022,7488.15,7520.72,7468.64,7507.11
8/9/2022,7482.37,7504.64,7475.04,7488.15
8/8/2022,7439.74,7513.76,7439.74,7482.37
8/5/2022,7448.06,7470.63,7420.16,7439.74
8/4/2022,7445.68,7491.74,7417.49,7448.06
8/3/2022,7409.11,7445.9,7372.71,7445.68
8/2/2022,7413.42,7433.34,7386.76,7409.11
8/1/2022,7450.24,7471.87,7408.94,7413.42
7/29/2022,7345.25,7441.2,7345.25,7423.43
7/28/2022,7348.23,7396.2,7308.99,7345.25
7/27/2022,7306.28,7365.22,7306.28,7348.23
7/26/2022,7306.3,7365.37,7301.19,7306.28
7/25/2022,7276.37,7309.65,7242.9,7306.3
7/22/2022,7270.51,7315.34,7254.02,7276.37
7/21/2022,7264.31,7274.73,7200.14,7270.51
7/20/2022,7296.28,7347.6,7253.56,7264.31
7/19/2022,7223.24,7308.99,7174.4,7296.28
7/18/2022,7159.01,7268.88,7159.01,7223.24
7/15/2022,7039.81,7167.85,7038.15,7159.01
7/14/2022,7156.37,7157.62,7007.09,7039.81
7/13/2022,7209.86,7209.86,7104.06,7156.37
7/12/2022,7196.59,7216.9,7143.31,7209.86
7/11/2022,7196.24,7204.06,7097.42,7196.59
7/8/2022,7189.08,7210.58,7129.15,7196.24
7/7/2022,7107.77,7213.05,7107.77,7189.08
7/6/2022,7025.47,7198.72,7025.35,7107.77
7/5/2022,7232.65,7260.3,7016.78,7025.47
7/4/2022,7168.65,7258.46,7168.65,7232.65
7/1/2022,7169.28,7214.82,7101.38,7168.65
6/30/2022,7312.32,7312.32,7110.7,7169.28
6/29/2022,7323.41,7345.45,7263.54,7312.32
6/28/2022,7258.32,7362.37,7258.32,7323.41
6/27/2022,7208.81,7284.48,7208.52,7258.32
6/24/2022,7020.45,7211.07,7016.02,7208.81
6/23/2022,7089.22,7115.8,7014.19,7020.45
6/22/2022,7152.05,7152.05,7030.03,7089.22
6/21/2022,7121.81,7193.9,7119.25,7152.05
6/20/2022,7016.25,7129.64,7016.15,7121.81
6/17/2022,7044.98,7130.62,6998.17,7016.25
6/16/2022,7273.41,7273.41,7039.47,7044.98
6/15/2022,7187.46,7313.7,7186.5,7273.41
6/14/2022,7205.81,7271.85,7135.15,7187.46
6/13/2022,7317.52,7317.52,7174.02,7205.81
6/10/2022,7476.21,7476.21,7294.2,7317.52
6/9/2022,7593,7593,7472.29,7476.21
6/8/2022,7598.93,7616.22,7550.65,7593
6/7/2022,7608.22,7617.53,7570.67,7598.93
6/6/2022,7532.95,7646.66,7532.84,7608.22
6/1/2022,7607.66,7639.21,7529.23,7532.95
5/31/2022,7600.06,7648.26,7591.84,7607.66
5/30/2022,7585.46,7625.63,7576.37,7600.06
5/27/2022,7564.92,7597.64,7542.78,7585.46
5/26/2022,7522.75,7575.53,7512.45,7564.92
5/25/2022,7484.35,7546.41,7484.35,7522.75
5/24/2022,7513.44,7529.65,7434.46,7484.35
5/23/2022,7389.98,7513.44,7389.98,7513.44
5/20/2022,7302.74,7453.49,7302.74,7389.98
5/19/2022,7438.09,7438.09,7228.67,7302.74
5/18/2022,7518.35,7526.14,7438.09,7438.09
5/17/2022,7464.8,7538.68,7464.8,7518.35
5/16/2022,7418.15,7464.8,7361.72,7464.8
5/13/2022,7233.34,7421.95,7233.34,7418.15
5/12/2022,7347.66,7347.66,7158.53,7233.34
5/11/2022,7243.22,7349.7,7238.97,7347.66
5/10/2022,7216.58,7311.65,7216.58,7243.22
5/9/2022,7387.94,7391.59,7216.58,7216.58
5/6/2022,7503.27,7503.27,7354.06,7387.94
5/5/2022,7493.45,7619.39,7493.45,7503.27
5/4/2022,7561.33,7572.65,7493.45,7493.45
5/3/2022,7544.55,7561.33,7475.69,7561.33
4/29/2022,7509.19,7569.8,7509.19,7544.55
4/28/2022,7425.61,7519.7,7425.61,7509.19
4/27/2022,7386.19,7458.24,7344.89,7425.61
4/26/2022,7380.54,7463.15,7380.54,7386.19
4/25/2022,7521.68,7521.68,7339.53,7380.54
4/22/2022,7627.95,7628.03,7521.68,7521.68
4/21/2022,7629.22,7656.47,7596.29,7627.95
4/20/2022,7601.28,7637.87,7590.62,7629.22
4/19/2022,7616.38,7624.9,7565.81,7601.28
4/14/2022,7580.8,7622.41,7551.39,7616.38
4/13/2022,7576.66,7597.85,7550.94,7580.8
4/12/2022,7618.31,7618.31,7543.03,7576.66
4/11/2022,7669.56,7669.56,7611.68,7618.31
4/8/2022,7551.81,7669.56,7551.81,7669.56
4/7/2022,7587.7,7601.52,7537.25,7551.81
4/6/2022,7613.72,7614.13,7536.2,7587.7
4/5/2022,7558.92,7613.72,7536.21,7613.72
4/4/2022,7537.9,7574.33,7532.23,7558.92
4/1/2022,7515.68,7552.46,7508.92,7537.9
3/31/2022,7578.75,7595.42,7515.68,7515.68
3/30/2022,7537.25,7578.75,7523.82,7578.75
3/29/2022,7473.14,7584.11,7473.14,7537.25
3/28/2022,7483.35,7539.3,7471.47,7473.14
3/25/2022,7467.38,7502.67,7441.28,7483.35
3/24/2022,7460.63,7492,7453.25,7467.38
3/23/2022,7476.72,7521.14,7459.36,7460.63
3/22/2022,7442.39,7490.46,7442.39,7476.72
3/21/2022,7404.73,7464.95,7402.6,7442.39
3/18/2022,7385.34,7406.13,7318.9,7404.73
3/17/2022,7291.68,7385.34,7260.51,7385.34
3/16/2022,7175.7,7312.23,7175.7,7291.68
3/15/2022,7193.47,7193.47,7075.82,7175.7
3/14/2022,7155.64,7222.87,7143.95,7193.47
3/11/2022,7099.09,7260.4,7099.03,7155.64
3/10/2022,7190.72,7192.75,7065.96,7099.09
3/9/2022,6964.11,7190.72,6964.11,7190.72
3/8/2022,6959.48,7013.51,6893.55,6964.11
3/7/2022,6987.14,7030.74,6787.98,6959.48
3/4/2022,7238.85,7238.85,6980.86,6987.14
3/3/2022,7429.56,7468.83,7231.51,7238.85
3/2/2022,7330.2,7462.22,7320.77,7429.56
3/1/2022,7458.25,7499.33,7327.79,7330.2
2/28/2022,7489.46,7489.46,7361.59,7458.25
2/25/2022,7207.38,7497.94,7207.38,7489.46
2/24/2022,7498.18,7498.18,7204.74,7207.38
2/23/2022,7494.21,7549.98,7490.54,7498.18
2/22/2022,7484.33,7531.32,7365.04,7494.21
2/21/2022,7513.62,7571.07,7446.43,7484.33
2/18/2022,7537.37,7570.56,7508.73,7513.62
2/17/2022,7603.78,7607.24,7499.86,7537.37
2/16/2022,7608.92,7630.72,7560.94,7603.78
2/15/2022,7531.59,7608.92,7513.16,7608.92
2/14/2022,7661.02,7661.02,7483.36,7531.59
2/11/2022,7672.4,7672.4,7596.11,7661.02
2/10/2022,7643.42,7687.27,7622.74,7672.4
2/9/2022,7567.07,7657.93,7567.07,7643.42
2/8/2022,7573.47,7631.31,7548.19,7567.07
2/7/2022,7516.4,7591.65,7508.48,7573.47
2/4/2022,7528.84,7599.73,7497.21,7516.4
2/3/2022,7583,7605.75,7528.69,7528.84
2/2/2022,7535.78,7605.64,7535.78,7583
2/1/2022,7464.37,7549.29,7463.01,7535.78
1/31/2022,7466.07,7523.95,7450.89,7464.37
1/28/2022,7554.31,7554.31,7420.2,7466.07
1/27/2022,7469.78,7596.7,7388.8,7554.31
1/26/2022,7371.46,7525.58,7371.46,7469.78
1/25/2022,7297.15,7382.6,7297.15,7371.46
1/24/2022,7494.13,7494.13,7283.38,7297.15
1/21/2022,7585.01,7585.01,7450.49,7494.13
1/20/2022,7589.66,7619.01,7549.87,7585.01
1/19/2022,7563.55,7614.93,7525.15,7589.66
1/18/2022,7611.23,7613.05,7531.96,7563.55
1/17/2022,7542.95,7616.06,7542.95,7611.23
1/14/2022,7563.85,7568.16,7523.02,7542.95
1/13/2022,7551.72,7566.46,7530.12,7563.85
1/12/2022,7491.37,7564.2,7491.37,7551.72
1/11/2022,7445.25,7497.12,7445.25,7491.37
1/10/2022,7485.28,7496.12,7422.94,7445.25
1/7/2022,7450.37,7485.28,7431.86,7485.28
1/6/2022,7516.87,7516.87,7419.95,7450.37
1/5/2022,7505.15,7529.97,7484.28,7516.87
1/4/2022,7384.54,7520.79,7384.54,7505.15
12/31/2021,7403.01,7403.01,7357.1,7384.54
12/30/2021,7420.69,7433.39,7403.01,7403.01
12/29/2021,7372.1,7457.14,7372.1,7420.69
12/28/2021,7372.1,7372.1,7372.1,7372.1
12/27/2021,7372.1,7372.1,7372.1,7372.1
12/24/2021,7373.34,7403.65,7368.83,7372.1
12/23/2021,7341.66,7385.42,7331.05,7373.34
12/22/2021,7297.41,7341.66,7273.45,7341.66
12/21/2021,7198.03,7297.41,7198.03,7297.41
12/20/2021,7269.92,7269.92,7101.04,7198.03
12/17/2021,7260.61,7286.5,7236.17,7269.92
12/16/2021,7170.75,7273.34,7170.75,7260.61
12/15/2021,7218.64,7224.85,7166.83,7170.75
12/14/2021,7231.44,7284.47,7218.64,7218.64
12/13/2021,7291.78,7309.23,7226.63,7231.44
12/10/2021,7321.26,7331.58,7284.82,7291.78
12/9/2021,7337.05,7366.1,7302.96,7321.26
12/8/2021,7339.9,7378.92,7333.56,7337.05
12/7/2021,7232.28,7344.69,7232.28,7339.9
12/6/2021,7122.32,7246.25,7122.32,7232.28
12/3/2021,7129.21,7196.05,7105.29,7122.32
12/2/2021,7168.68,7168.68,7083.21,7129.21
12/1/2021,7059.45,7182.01,7059.35,7168.68
11/30/2021,7109.95,7109.95,6989.66,7059.45
11/29/2021,7044.03,7161.91,7044.03,7109.95
11/26/2021,7310.37,7310.37,7042.12,7044.03
11/25/2021,7286.32,7311.94,7286.32,7310.37
11/24/2021,7266.69,7307.89,7245.98,7286.32
11/23/2021,7255.46,7293.07,7204.37,7266.69
